drone_id,x,y,z,time
Drone_17,59.25,68.69,18.8,16
Drone_17,29.15,15.21,4.56,17
Drone_17,33.04,79.72,15.37,18
Drone_17,86.12,70.66,10.21,19
Drone_18,85.47,27.17,8.49,28
Drone_18,60.95,32.3,4.84,29
Drone_18,46.54,10.34,3.29,30
Drone_18,45.89,92.95,4.03,31
Drone_18,38.7,90.47,0.46,32
Drone_19,7.01,77.75,5.82,45
Drone_19,25.65,92.86,8.25,46
Drone_19,76.66,76.47,7.28,47
Drone_19,11.59,90.08,10.65,48
Drone_19,65.22,39.15,4.88,49
Drone_20,45.13,14.29,4.15,1
Drone_20,27.58,2.77,11.4,2
Drone_20,64.99,45.32,19.15,3
Drone_20,17.85,73.58,9.6,4
Drone_20,50.58,90.09,1.51,5
Drone_21,63.84,31.95,12.36,15
Drone_21,61.59,70.51,5.78,16
Drone_21,28.55,21.43,19.66,17
Drone_21,20.93,36.29,12.12,18
Drone_21,47.97,70.14,17.54,19
Drone_22,59.13,10.35,12.09,24
Drone_22,98.64,47.74,2.76,25
Drone_22,48.71,65.96,17.53,26
Drone_22,70.41,39.41,7.04,27
Drone_22,36.19,78.42,8.27,28
Drone_23,44.63,70.47,5.65,7
Drone_23,93.27,23.03,4.43,8
Drone_23,57.3,55.22,6.62,9
Drone_23,80.04,73.19,10.56,10
Drone_23,27.79,83.58,15.28,11
Drone_24,97.57,19.47,6.03,14
Drone_24,72.64,16.8,19.88,15
Drone_24,67.14,54.42,4.82,16
Drone_24,77.69,2.93,5.31,17
Drone_24,21.07,95.72,19.91,18
Drone_25,71.62,71.55,18.03,75
Drone_25,66.47,31.88,8.33,76
Drone_25,52.26,5.47,19.28,77
Drone_25,57.51,37.57,12.13,78
Drone_25,7.37,71.36,12.76,79
Drone_26,63.87,40.27,7.14,14
Drone_26,56.68,49.45,11.59,15
Drone_26,85.83,42.54,7.26,16
Drone_26,4.82,47.2,0.71,17
Drone_26,0.09,65.4,8.21,18
Drone_27,61.05,89.76,14.05,79
Drone_27,94.53,62.11,1.29,80
Drone_27,16.32,42.14,10.69,81
Drone_27,62.92,10.56,6.61,82
Drone_27,78.08,86.05,10.08,83
Drone_28,38.45,75.91,6.66,90
Drone_28,55.23,43.75,1.52,91
Drone_28,24.13,3.03,9.53,92
Drone_28,12.14,56.08,0.24,93
Drone_28,23.91,87.4,13.44,94
Drone_29,7.24,29.7,16.64,34
Drone_29,29.48,90.84,16.63,35
Drone_29,83.67,63.45,15.76,36
Drone_29,10.94,73.09,10.32,37
Drone_29,93.87,71.95,0.82,38
Drone_30,72.63,73.22,11.87,61
Drone_30,16.85,35.03,2.16,62
Drone_30,88.99,51.55,13.86,63
Drone_30,17.37,95.08,3.26,64
Drone_30,91.9,99.69,8.44,65
Drone_31,46.61,14.33,19.22,26
Drone_31,74.46,76.16,3.32,27
Drone_31,86.35,81.94,14.49,28
Drone_31,88.88,75.36,4.15,29
Drone_31,41.69,82.48,14.1,30
Drone_32,65.28,23.65,10.02,68
Drone_32,52.32,29.19,11.84,69
Drone_32,0.5,50.05,11.88,70
Drone_32,37.11,47.6,4.45,71
Drone_32,12.44,79.69,1.32,72
Drone_33,2.22,2.05,17.54,40
Drone_33,27.97,73.89,3.66,41
Drone_33,88.45,41.88,18.82,42
Drone_33,61.55,42.32,13.57,43
Drone_33,7.66,95.88,12.06,44
Drone_34,40.93,98.05,10.86,40
Drone_34,64.97,51.84,13.91,41
Drone_34,29.66,13.41,15.2,42
Drone_34,84.61,29.08,6.7,43
Drone_34,98.51,83.77,9.75,44
Drone_35,48.97,54.77,12.68,14
Drone_35,56.54,64.93,19.96,15
Drone_35,40.38,65.67,2.37,16
Drone_35,1.75,85.84,10.14,17
Drone_35,25.52,21.84,14.89,18
Drone_36,28.39,24.59,2.66,52
Drone_36,17.02,91.65,5.7,53
Drone_36,71.67,72.88,3.77,54
Drone_36,95.02,11.34,8.08,55
Drone_36,88.21,63.26,8.05,56
Drone_37,56.25,76.02,3.42,47
Drone_37,44.29,55.78,10.64,48
Drone_37,32.29,85.98,6.82,49
Drone_37,14.57,13.94,5.54,50
Drone_37,97.41,16.36,0.76,51
Drone_38,51.35,7.73,8.24,49
Drone_38,71.44,38.01,12.53,50
Drone_38,51.93,30.06,7.93,51
Drone_38,22.33,40.24,2.48,52
Drone_38,3.28,47.39,18.34,53
Drone_39,42.25,69.82,10.01,8
Drone_39,40.39,88.67,14.5,9
Drone_39,41.91,43.36,7.49,10
Drone_39,33.52,78.47,3.26,11
Drone_39,89.81,42.24,10.21,12
Drone_40,62.51,28.22,4.11,63
Drone_40,57.24,41.55,2.54,64
Drone_40,4.27,43.12,6.84,65
Drone_40,85.23,65.8,3.34,66
Drone_40,89.46,5.38,14.41,67
Drone_41,91.44,45.25,10.59,45
Drone_41,98.77,8.02,9.42,46
Drone_41,40.9,75.23,15.81,47
Drone_41,40.12,90.05,5.44,48
Drone_41,32.55,85.98,5.75,49
Drone_42,84.16,43.68,14.79,83
Drone_42,1.44,16.63,4.39,84
Drone_42,74.14,17.91,0.24,85
Drone_42,73.16,27.54,16.03,86
Drone_42,46.75,50.42,12.05,87
Drone_43,41.94,65.67,14.39,29
Drone_43,49.82,64.45,18.54,30
Drone_43,81.2,69.73,14.1,31
Drone_43,72.48,81.75,5.35,32
Drone_43,58.8,83.61,17.54,33
Drone_44,58.87,60.62,8.68,4
Drone_44,63.96,84.02,14.79,5
Drone_44,21.37,41.54,11.2,6
Drone_44,64.21,26.58,5.52,7
Drone_44,76.75,89.86,15.73,8
Drone_45,85.92,48.46,0.82,85
Drone_45,43.08,48.96,15.6,86
Drone_45,81.35,55.29,12.24,87
Drone_45,81.44,38.49,8.7,88
Drone_45,56.38,0.01,4.15,89
Drone_46,84.52,27.97,0.22,94
Drone_46,57.32,49.89,14.74,95
Drone_46,10.65,62.91,0.91,96
Drone_46,44.13,21.13,14.13,97
Drone_46,84.14,8.05,7.25,98
Drone_47,34.62,91.95,5.24,30
Drone_47,55.07,80.61,3.94,31
Drone_47,67.47,42.95,17.52,32
Drone_47,89.6,22.68,16.06,33
Drone_47,20.36,61.63,12.7,34
Drone_48,69.02,24.44,12.78,6
Drone_48,74.62,82.52,13.41,7
Drone_48,23.35,31.14,18.57,8
Drone_48,72.31,64.72,6.3,9
Drone_48,79.83,87.31,18.63,10
Drone_49,83.43,72.47,14.21,85
Drone_49,78.9,8.2,17.81,86
Drone_49,48.31,50.74,13.04,87
Drone_49,35.02,85.47,2.14,88
Drone_49,60.64,91.41,14.67,89
Drone_50,31.81,67.61,15.27,89
Drone_50,3.79,43.86,10.6,90
Drone_50,57.83,42.37,8.34,91
Drone_50,18.37,23.46,15.05,92
Drone_50,50.34,77.35,12.56,93
Drone_51,27.19,2.09,7.9,60
Drone_51,81.78,98.6,9.19,61
Drone_51,38.74,33.01,7.34,62
Drone_51,56.48,28.89,9.18,63
Drone_51,29.13,50.72,4.51,64
Drone_52,68.2,0.52,4.2,89
Drone_52,22.34,70.82,6.77,90
Drone_52,71.11,28.56,6.9,91
Drone_52,55.14,46.77,0.98,92
Drone_52,85.24,25.43,19.04,93
Drone_53,40.66,82.53,14.43,57
Drone_53,33.2,16.59,17.42,58
Drone_53,79.13,77.67,18.68,59
Drone_53,66.19,13.23,11.81,60
Drone_53,42.15,37.12,7.76,61
Drone_54,78.44,81.54,1.38,46
Drone_54,11.68,95.94,4.98,47
Drone_54,75.23,11.27,19.93,48
Drone_54,50.38,76.46,15.75,49
Drone_54,99.85,50.2,4.89,50
Drone_55,48.21,3.75,9.07,99
Drone_55,12.21,37.26,12.75,100
Drone_55,8.93,60.5,15.34,101
Drone_55,56.12,77.94,17.0,102
Drone_55,11.81,48.25,16.18,103
Drone_56,47.15,85.17,19.91,73
Drone_56,15.7,3.01,8.35,74
Drone_56,32.39,27.7,11.42,75
Drone_56,12.21,43.71,4.64,76
Drone_56,44.72,55.78,1.55,77
Drone_57,81.58,43.54,10.45,3
Drone_57,27.87,18.61,7.97,4
Drone_57,5.5,78.95,14.53,5
Drone_57,9.26,58.03,7.45,6
Drone_57,14.35,13.39,7.63,7
Drone_58,62.85,89.54,7.58,56
Drone_58,82.94,22.59,4.6,57
Drone_58,39.0,61.36,18.06,58
Drone_58,89.88,89.76,18.43,59
Drone_58,8.65,86.85,18.45,60
Drone_59,21.61,41.54,2.96,35
Drone_59,5.08,65.78,4.39,36
Drone_59,35.41,9.29,6.27,37
Drone_59,87.81,43.13,14.44,38
Drone_59,45.42,47.08,15.09,39
Drone_60,83.57,38.96,17.31,66
Drone_60,86.73,28.96,5.3,67
Drone_60,68.73,84.99,15.91,68
Drone_60,62.27,49.95,4.85,69
Drone_60,45.05,78.13,1.45,70
Drone_61,98.9,50.1,10.82,57
Drone_61,43.32,76.44,6.39,58
Drone_61,66.62,61.5,17.2,59
Drone_61,93.13,25.96,14.3,60
Drone_61,24.29,15.38,16.54,61
Drone_62,36.74,70.18,10.76,4
Drone_62,76.02,34.71,3.29,5
Drone_62,45.61,47.06,13.31,6
Drone_62,86.35,9.25,11.63,7
Drone_62,94.24,42.74,11.23,8
Drone_63,39.99,10.91,15.16,9
Drone_63,97.51,40.91,16.61,10
Drone_63,44.28,53.86,12.85,11
Drone_63,84.89,82.48,4.86,12
Drone_63,38.36,10.51,8.85,13
Drone_64,91.34,32.22,12.07,33
Drone_64,6.07,12.12,19.87,34
Drone_64,87.91,2.14,16.54,35
Drone_64,68.36,46.44,14.09,36
Drone_64,7.28,24.6,2.49,37
Drone_65,12.47,15.55,10.28,8
Drone_65,69.0,63.18,14.67,9
Drone_65,75.94,95.82,2.6,10
Drone_65,0.14,21.4,5.72,11
Drone_65,40.52,92.98,10.64,12
Drone_66,72.01,85.59,7.73,82
Drone_66,98.69,85.83,16.77,83
Drone_66,99.86,92.43,9.2,84
Drone_66,67.88,1.35,16.17,85
Drone_66,53.03,22.51,4.99,86
Drone_67,95.18,12.08,15.38,83
Drone_67,8.92,19.83,1.0,84
Drone_67,28.57,93.26,0.93,85
Drone_67,32.51,4.12,1.08,86
Drone_67,96.58,70.49,0.95,87
Drone_68,24.52,45.83,10.64,59
Drone_68,69.84,80.9,12.2,60
Drone_68,7.92,11.97,15.5,61
Drone_68,2.15,8.62,1.57,62
Drone_68,53.17,34.28,4.39,63
Drone_69,69.1,73.65,6.26,86
Drone_69,85.05,77.61,13.14,87
Drone_69,65.28,38.98,18.74,88
Drone_69,22.28,89.86,2.55,89
Drone_69,91.99,10.05,1.22,90
Drone_70,19.89,96.81,5.8,99
Drone_70,35.1,6.53,9.4,100
Drone_70,0.17,67.21,5.25,101
Drone_70,24.75,61.91,2.82,102
Drone_70,70.11,93.71,13.56,103
Drone_71,61.91,29.02,16.24,79
Drone_71,80.17,75.24,16.53,80
Drone_71,98.86,97.77,16.36,81
Drone_71,2.86,50.2,3.68,82
Drone_71,47.43,26.38,13.36,83
Drone_72,26.92,5.33,6.18,10
Drone_72,70.87,64.37,13.02,11
Drone_72,38.0,57.5,14.45,12
Drone_72,88.35,34.47,9.16,13
Drone_72,33.49,40.8,11.66,14
Drone_73,1.36,89.74,4.45,15
Drone_73,8.29,0.69,9.76,16
Drone_73,64.27,83.75,2.39,17
Drone_73,81.05,63.08,1.54,18
Drone_73,27.97,29.62,9.47,19
Drone_74,5.04,88.32,18.97,50
Drone_74,45.49,49.82,2.95,51
Drone_74,49.99,54.15,10.45,52
Drone_74,97.49,57.75,4.1,53
Drone_74,75.57,67.83,1.79,54
Drone_75,45.66,48.38,8.83,50
Drone_75,68.88,86.81,4.68,51
Drone_75,64.09,78.88,11.76,52
Drone_75,27.69,88.8,5.79,53
Drone_75,98.3,23.73,18.04,54
Drone_76,21.23,41.18,1.7,100
Drone_76,58.7,27.15,17.15,101
Drone_76,37.17,51.84,5.15,102
Drone_76,9.43,25.26,19.68,103
Drone_76,50.77,90.59,14.25,104
Drone_77,50.1,9.77,10.13,19
Drone_77,96.08,64.14,7.47,20
Drone_77,83.71,80.69,5.52,21
Drone_77,71.48,89.59,16.34,22
Drone_77,34.22,4.27,4.08,23
Drone_78,8.31,45.72,17.43,78
Drone_78,15.69,16.47,2.4,79
Drone_78,52.55,1.35,17.79,80
Drone_78,93.55,9.88,8.59,81
Drone_78,67.76,95.6,0.91,82
Drone_79,65.78,54.16,19.96,86
Drone_79,73.4,67.38,18.46,87
Drone_79,22.62,82.42,9.42,88
Drone_79,65.58,35.94,7.25,89
Drone_79,54.81,64.08,9.72,90
Drone_80,68.66,45.01,9.64,43
Drone_80,63.14,23.01,19.74,44
Drone_80,95.55,41.68,9.93,45
Drone_80,17.19,83.57,1.07,46
Drone_80,67.53,94.74,10.18,47
Drone_81,20.28,20.53,13.58,41
Drone_81,75.68,18.87,10.62,42
Drone_81,90.84,55.78,1.3,43
Drone_81,27.79,61.54,16.32,44
Drone_81,59.43,74.33,14.41,45
Drone_82,49.38,7.02,7.62,68
Drone_82,33.56,2.87,17.99,69
Drone_82,38.88,22.8,14.67,70
Drone_82,77.44,83.23,10.64,71
Drone_82,34.29,23.31,5.82,72
Drone_83,15.16,2.27,15.06,20
Drone_83,13.36,40.52,2.89,21
Drone_83,7.16,15.31,2.61,22
Drone_83,35.02,16.7,12.73,23
Drone_83,93.85,67.24,5.91,24
Drone_84,37.9,85.61,5.91,1
Drone_84,29.54,55.81,18.32,2
Drone_84,85.19,76.41,11.71,3
Drone_84,57.3,50.89,15.24,4
Drone_84,67.37,55.43,9.14,5
Drone_85,92.27,42.56,13.84,24
Drone_85,14.48,51.19,9.23,25
Drone_85,45.32,29.22,6.73,26
Drone_85,44.17,14.77,13.04,27
Drone_85,33.33,34.84,11.16,28
Drone_86,46.63,59.8,11.82,56
Drone_86,72.19,86.03,5.19,57
Drone_86,3.12,4.22,13.72,58
Drone_86,78.37,5.38,12.56,59
Drone_86,28.52,5.25,2.56,60
Drone_87,41.17,8.64,5.23,57
Drone_87,33.28,70.2,15.13,58
Drone_87,77.13,93.47,13.86,59
Drone_87,3.9,95.97,19.37,60
Drone_87,40.61,39.03,11.72,61
Drone_88,20.97,33.02,19.83,11
Drone_88,89.37,47.64,18.61,12
Drone_88,2.74,50.35,9.17,13
Drone_88,39.76,23.53,15.69,14
Drone_88,43.41,96.27,15.61,15
Drone_89,20.82,57.08,5.32,86
Drone_89,69.65,75.72,7.79,87
Drone_89,31.59,24.13,11.56,88
Drone_89,42.5,3.76,19.13,89
Drone_89,14.09,14.01,11.45,90
Drone_90,30.63,55.69,1.87,67
Drone_90,4.84,39.29,13.04,68
Drone_90,85.68,57.25,0.04,69
Drone_90,2.73,20.19,12.85,70
Drone_90,27.9,76.0,4.42,71
Drone_91,30.77,12.35,9.34,41
Drone_91,11.78,27.46,6.7,42
Drone_91,94.11,76.97,18.42,43
Drone_91,35.24,97.7,11.75,44
Drone_91,8.91,18.62,0.93,45
Drone_92,10.94,96.08,0.23,1
Drone_92,43.76,15.48,2.1,2
Drone_92,81.37,3.87,0.1,3
Drone_92,11.82,76.19,8.74,4
Drone_92,11.25,41.79,1.51,5
Drone_93,17.98,54.74,15.14,84
Drone_93,72.87,85.14,14.68,85
Drone_93,87.34,83.19,1.04,86
Drone_93,36.28,17.57,13.29,87
Drone_93,77.56,92.46,12.05,88
Drone_94,55.45,96.77,16.17,41
Drone_94,5.8,86.6,2.59,42
Drone_94,32.69,32.87,19.65,43
Drone_94,98.05,34.44,9.85,44
Drone_94,68.85,34.49,7.48,45
Drone_95,76.23,69.95,4.23,91
Drone_95,94.33,57.71,3.78,92
Drone_95,43.5,65.64,14.52,93
Drone_95,67.97,5.15,9.51,94
Drone_95,30.03,18.34,12.99,95
Drone_96,88.69,10.17,3.65,19
Drone_96,63.85,61.6,0.28,20
Drone_96,4.66,65.7,5.72,21
Drone_96,16.76,1.22,8.13,22
Drone_96,19.81,41.65,6.36,23
Drone_97,37.79,71.47,3.68,51
Drone_97,54.48,91.87,8.76,52
Drone_97,92.97,1.65,14.58,53
Drone_97,12.75,84.97,0.68,54
Drone_97,34.67,77.92,18.76,55
Drone_98,28.0,44.52,1.94,4
Drone_98,5.46,4.23,6.01,5
Drone_98,35.46,55.86,4.42,6
Drone_98,15.08,73.32,1.96,7
Drone_98,32.24,65.66,17.08,8
Drone_99,4.08,40.23,5.04,77
Drone_99,21.37,74.5,14.83,78
Drone_99,2.45,9.44,14.51,79
Drone_99,14.39,78.97,19.3,80
Drone_99,17.87,32.72,9.83,81
Drone_100,22.71,0.39,14.42,96
Drone_100,8.3,91.98,4.22,97
Drone_100,30.08,50.37,0.58,98
Drone_100,33.41,35.12,14.07,99
Drone_100,3.59,87.18,9.42,100
Drone_101,69.76,13.9,11.57,9
Drone_101,7.29,9.47,18.25,10
Drone_101,29.53,99.49,0.73,11
Drone_101,82.91,17.5,15.96,12
Drone_101,5.15,15.09,15.58,13
Drone_102,84.11,72.14,2.3,32
Drone_102,89.45,8.88,9.33,33
Drone_102,91.64,46.1,3.81,34
Drone_102,74.8,91.38,9.24,35
Drone_102,81.54,89.87,8.55,36
Drone_103,77.92,41.18,10.3,86
Drone_103,27.16,57.91,19.11,87
Drone_103,20.62,68.38,0.42,88
Drone_103,47.13,20.76,17.53,89
Drone_103,32.55,92.17,2.72,90
Drone_104,70.73,97.67,8.86,76
Drone_104,40.78,55.99,3.05,77
Drone_104,49.4,33.28,17.45,78
Drone_104,54.94,33.65,14.71,79
Drone_104,1.3,85.54,15.51,80
Drone_105,78.33,99.92,4.02,76
Drone_105,9.02,19.19,10.79,77
Drone_105,90.15,52.26,17.06,78
Drone_105,35.02,63.41,19.25,79
Drone_105,92.25,27.48,13.35,80
Drone_106,15.5,51.88,0.81,37
Drone_106,82.75,8.76,16.91,38
Drone_106,16.03,22.31,1.85,39
Drone_106,31.92,53.67,6.6,40
Drone_106,25.8,57.56,15.24,41
Drone_107,86.87,31.32,10.59,18
Drone_107,99.92,79.54,7.93,19
Drone_107,28.38,73.62,15.13,20
Drone_107,27.13,24.51,11.97,21
Drone_107,93.39,92.7,3.02,22
Drone_108,37.38,24.07,13.68,43
Drone_108,38.58,19.09,15.59,44
Drone_108,10.36,14.68,16.1,45
Drone_108,40.61,58.74,0.07,46
Drone_108,42.75,28.99,17.09,47
Drone_109,75.97,8.78,17.31,39
Drone_109,51.9,20.26,11.06,40
Drone_109,32.33,73.15,18.71,41
Drone_109,55.6,89.87,14.36,42
Drone_109,33.34,14.74,7.54,43
Drone_110,10.44,62.55,19.96,93
Drone_110,83.82,86.66,16.66,94
Drone_110,9.49,47.82,12.94,95
Drone_110,48.67,35.96,0.49,96
Drone_110,21.32,57.49,7.67,97
Drone_111,33.37,90.66,15.85,57
Drone_111,31.55,42.23,17.46,58
Drone_111,81.61,43.36,4.89,59
Drone_111,17.13,91.02,12.46,60
Drone_111,85.11,28.41,5.99,61
Drone_112,39.89,67.38,3.96,62
Drone_112,66.77,11.8,6.85,63
Drone_112,13.12,84.54,19.74,64
Drone_112,25.96,2.61,5.8,65
Drone_112,67.01,35.37,3.1,66
Drone_113,23.78,53.08,10.94,80
Drone_113,96.61,75.65,2.11,81
Drone_113,13.85,60.06,0.46,82
Drone_113,40.87,22.68,5.5,83
Drone_113,79.95,9.27,13.67,84
Drone_114,44.16,84.11,3.69,26
Drone_114,64.7,96.79,10.28,27
Drone_114,94.75,34.9,12.06,28
Drone_114,88.69,32.76,8.13,29
Drone_114,41.39,48.03,5.17,30
Drone_115,82.82,1.25,5.71,97
Drone_115,57.17,32.86,6.58,98
Drone_115,27.83,36.57,7.86,99
Drone_115,5.47,76.09,2.74,100
Drone_115,5.82,1.36,17.44,101
Drone_116,47.71,58.71,3.42,91
Drone_116,93.55,4.11,19.42,92
Drone_116,75.84,21.93,10.77,93
Drone_116,47.59,90.23,19.03,94
Drone_116,68.32,85.92,12.21,95
Drone_117,56.41,22.36,5.02,52
Drone_117,82.58,77.87,9.51,53
Drone_117,70.2,2.71,11.43,54
Drone_117,42.69,72.62,18.73,55
Drone_117,25.16,95.37,17.33,56
Drone_118,85.55,0.38,3.34,99
Drone_118,37.29,91.11,3.95,100
Drone_118,92.0,93.52,15.78,101
Drone_118,74.69,35.02,19.62,102
Drone_118,99.77,22.1,18.87,103
Drone_119,20.87,63.76,0.72,27
Drone_119,55.03,59.51,4.17,28
Drone_119,6.16,29.76,9.24,29
Drone_119,1.55,70.1,17.66,30
Drone_119,20.81,12.51,10.64,31
Drone_120,20.16,75.37,13.54,84
Drone_120,71.34,88.78,17.13,85
Drone_120,18.65,65.9,7.29,86
Drone_120,46.54,19.38,17.12,87
Drone_120,87.85,39.49,19.8,88
Drone_121,87.65,77.44,8.09,29
Drone_121,94.25,50.03,10.32,30
Drone_121,47.32,62.64,17.3,31
Drone_121,63.36,44.2,13.85,32
Drone_121,77.88,84.41,18.73,33
Drone_122,30.11,30.5,12.39,65
Drone_122,44.06,85.15,13.83,66
Drone_122,5.83,24.79,7.76,67
Drone_122,41.78,57.55,8.85,68
Drone_122,94.34,44.12,9.87,69
Drone_123,59.33,76.08,3.6,2
Drone_123,99.7,61.87,11.27,3
Drone_123,0.75,25.12,10.03,4
Drone_123,27.73,74.12,8.97,5
Drone_123,51.92,91.6,6.03,6
Drone_124,44.28,1.72,16.96,87
Drone_124,43.19,35.99,5.14,88
Drone_124,69.74,14.81,2.0,89
Drone_124,98.87,70.47,0.49,90
Drone_124,92.06,77.09,7.79,91
Drone_125,81.72,90.71,4.33,11
Drone_125,8.22,13.65,16.15,12
Drone_125,71.22,19.05,9.66,13
Drone_125,93.66,11.68,1.66,14
Drone_125,36.49,37.68,4.46,15
Drone_126,9.49,48.08,0.41,50
Drone_126,41.52,87.97,2.46,51
Drone_126,42.41,89.27,6.15,52
Drone_126,31.61,23.97,7.9,53
Drone_126,31.21,4.37,4.28,54
Drone_127,70.56,80.4,19.52,100
Drone_127,35.79,52.01,9.89,101
Drone_127,66.01,37.33,5.1,102
Drone_127,41.07,8.26,2.23,103
Drone_127,90.39,65.64,3.02,104
Drone_128,47.38,93.11,5.7,6
Drone_128,45.71,40.98,18.14,7
Drone_128,17.72,47.12,5.62,8
Drone_128,34.29,75.65,0.88,9
Drone_128,51.67,89.33,9.45,10
Drone_129,93.86,40.84,4.38,72
Drone_129,97.44,92.88,0.54,73
Drone_129,74.75,4.73,2.58,74
Drone_129,50.33,74.59,7.18,75
Drone_129,36.79,46.72,7.23,76
Drone_130,56.62,59.02,12.6,46
Drone_130,69.78,42.37,4.26,47
Drone_130,11.31,55.06,1.0,48
Drone_130,26.22,55.2,5.12,49
Drone_130,99.18,1.27,1.48,50
Drone_131,18.51,20.46,9.38,12
Drone_131,42.69,89.84,16.55,13
Drone_131,73.07,61.13,13.48,14
Drone_131,17.26,86.42,14.76,15
Drone_131,20.21,64.19,10.78,16
Drone_132,49.33,20.63,17.99,79
Drone_132,76.26,14.55,19.28,80
Drone_132,93.14,36.43,16.1,81
Drone_132,58.36,11.89,15.71,82
Drone_132,9.7,0.98,13.2,83
Drone_133,28.18,5.91,10.06,49
Drone_133,62.13,79.71,17.3,50
Drone_133,74.48,86.37,6.82,51
Drone_133,51.94,20.59,1.81,52
Drone_133,89.12,94.78,18.63,53
Drone_134,97.97,40.85,16.08,28
Drone_134,65.16,63.78,14.21,29
Drone_134,77.74,59.49,14.72,30
Drone_134,52.37,59.35,6.75,31
Drone_134,0.56,8.25,2.02,32
Drone_135,38.9,68.96,3.22,100
Drone_135,55.07,7.69,18.35,101
Drone_135,48.72,44.8,6.06,102
Drone_135,98.43,37.59,7.46,103
Drone_135,46.42,88.5,6.68,104
Drone_136,57.92,61.92,11.86,13
Drone_136,7.67,87.21,19.92,14
Drone_136,61.1,55.0,14.59,15
Drone_136,13.21,41.25,5.27,16
Drone_136,45.52,68.07,17.09,17
Drone_137,8.7,48.92,7.95,2
Drone_137,31.99,43.31,17.02,3
Drone_137,27.07,32.71,15.74,4
Drone_137,67.16,85.11,12.62,5
Drone_137,0.89,58.69,6.25,6
Drone_138,5.89,44.05,18.77,10
Drone_138,88.94,87.28,16.87,11
Drone_138,89.5,59.47,18.2,12
Drone_138,34.5,68.39,5.18,13
Drone_138,17.19,72.47,5.02,14
Drone_139,17.18,5.09,10.19,39
Drone_139,57.94,48.78,3.99,40
Drone_139,26.12,38.09,18.47,41
Drone_139,90.46,66.47,2.76,42
Drone_139,51.59,49.79,9.76,43
Drone_140,82.88,83.41,12.63,73
Drone_140,17.28,6.0,19.41,74
Drone_140,20.37,76.33,10.82,75
